index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
31	31	31	paper:FraCaS_GQ:upward_monotone					De meeste Europeanen kunnen vrij reizen binnen Europa.	De meeste Europeanen die inwoner zijn buiten Europa kunnen vrij reizen binnen Europa.						neutral
32	32	32	paper:FraCaS_GQ:upward_monotone					Een paar comitéleden komen uit Scandinavië.	Ten minste een paar vrouwelijke comitéleden komen uit Scandinavië.						neutral
33	33	33	paper:FraCaS_GQ:downward_monotone					Weinig comitéleden komen uit zuid-Europa.	Weinig vrouwelijke comitéleden komen uit zuid-Europa.						entailment
34	34	34	paper:FraCaS_GQ:non_monotone					Beide commissarissen zaten ooit in de handel.	Beide vrouwelijke commissarissen zaten ooit in de handel.						neutral
35	35	35	paper:FraCaS_GQ:downward_monotone					Geen van beide commissarissen brengt veel tijd thuis door.	Een van de vrouwelijke commissarissen brengt veel tijd thuis door.						neutral
36	36	36	paper:FraCaS_GQ:upward_monotone					Ten minste drie commissarissen spenderen tijd thuis.	Ten minste drie mannelijke commissarissen spenderen tijd thuis.						neutral
37	37	37	paper:FraCaS_GQ:downward_monotone					Niet meer dan tien commissarissen spenderen tijd thuis.	Niet meer dan tien vrouwelijke commissarissen spenderen tijd thuis.						entailment
38	38	38	paper:upward_monotone					Pluto en Uranus zitten nu op een lijn met Neptunus.	Pluto of Uranus zit nu op een lijn met Neptunus.						entailment
39	39	39	paper:upward_monotone					Pluto of Uranus zit nu op een lijn met Neptunus.	Pluto en Uranus zitten nu op een lijn met Neptunus.						neutral
40	40	40	paper:upward_monotone					Alan nam zijn vakantie in Californië.	Zowel Alan als Bob namen hun vakanties in Californië.						neutral
41	41	41	paper:upward_monotone					Zowel Alan als Bob namen hun vakanties in Californië.	Alan nam zijn vakantie in Californië.						entailment
42	42	42	paper:upward_monotone					Socrates is rationeel.	Iemand is rationeel.						entailment
43	43	43	paper:GLUE:lexical_knowledge:upward_monotone					Een paar honden krabben graag hun oren.	Een paar dieren krabben graag hun oren.						entailment
44	44	44	paper:GLUE:lexical_knowledge:upward_monotone					Een paar dieren krabben graag hun oren.	Een paar honden krabben graag hun oren.						neutral
45	45	45	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Cruz heeft vaak verschillende plannen die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.	Cruz heeft vaak verschillende wetten die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.						neutral
46	46	46	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Cruz heeft vaak verschillende wetten die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.	Cruz heeft vaak verschillende plannen die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.						entailment
47	47	47	paper:GLUE:Intersectivity:upward_monotone					In veel ontwikkelde gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.	In veel gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.						entailment
48	48	48	paper:GLUE:Intersectivity:upward_monotone					In veel gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.	In veel ontwikkelde gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.						neutral
49	49	49	paper:GLUE:Intersectivity:upward_monotone					We beschouwen een paar contextwoorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.	We beschouwen een paar woorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.						entailment
50	50	50	paper:GLUE:Intersectivity:upward_monotone					We beschouwen een paar woorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.	We beschouwen een paar contextwoorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.						neutral
51	51	51	paper:GLUE:Intersectivity:downward_monotone					We beschouwen alle contextwoorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.	We beschouwen alle woorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.						neutral
52	52	52	paper:GLUE:Intersectivity:downward_monotone					We beschouwen alle woorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.	We beschouwen alle contextwoorden als positieve voorbeelden en nemen willekeurige negatieven uit het woordenboek.						entailment
53	53	53	paper:GLUE:lexical_knowledge:downward_monotone					Alle honden vinden het leuk om hun oren te krabben.	Alle dieren vinden het leuk om hun oren te krabben.						neutral
54	54	54	paper:GLUE:downward_monotone					Alle dieren vinden het leuk om hun oren te krabben.	Alle honden vinden het leuk om hun oren te krabben.						entailment
55	55	55	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					Cruz heeft vaak enig plan dat legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.	Cruz heeft vaak enige wet die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.						entailment
56	56	56	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					Cruz heeft vaak enige wet die legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.	Cruz heeft vaak enig plan dat legale status van burgerschap verleent aan mensen die illegaal in het land wonen als amnestie bespot.						neutral
57	57	57	paper:GLUE:Intersectivity:downward_monotone					In alle gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.	In alle ontwikkelde gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.						entailment
58	58	58	paper:GLUE:Intersectivity:downward_monotone					In alle ontwikkelde gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.	In alle gebieden, heeft menselijke activiteit de vorm van rivierkanalen veranderd, wat omvangen en frequenties van overstromingen heeft aangepast.						neutral
59	59	59	paper:GLUE:Restrictivity:non_monotone:Common sense					Het laatste fatale incident, maandagochtend aangegeven, doodde een 17 jarige jongen en verwonde een vrouw.	Het laatste iincident, maandagochtend aangegeven, doodde een 17 jarige jongen en verwonde een vrouw.						neutral
60	60	60	paper:GLUE:Restrictivity:non_monotone:Common sense					Het laatste iincident, maandagochtend aangegeven, doodde een 17 jarige jongen en verwonde een vrouw.	Het laatste fatale incident, maandagochtend aangegeven, doodde een 17 jarige jongen en verwonde een vrouw.						entailment
61	61	61	paper:GLUE:Quantifiers:downward_monotone					Er kwam geen badkamerrekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.	Er kwamen geen rekeningen op abbotts bureau tegen het eind van de wetgevende vergadering in mei.						neutral
62	62	62	paper:GLUE:Quantifiers:downward_monotone					Er kwamen geen rekeningen op abbotts bureau tegen het eind van de wetgevende vergadering in mei.	Er kwam geen badkamerrekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.						entailment
63	63	63	paper:GLUE:Quantifiers:downward_monotone					Er kwam geen badkamerrekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.	Er kwam een rekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.						neutral
64	64	64	paper:GLUE:Quantifiers:downward_monotone					Er kwam een rekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.	Er kwam geen badkamerrekening op abbotts bureau tegen het eind van de wetgevende vergadering in mei.						neutral
65	65	65	paper:GLUE:Intersectivity:upward_monotone					Missouri wetgevers overwegen een overheidsboycot op bedrijven die Israel boycotten.	Missouri wetgevers overwegen een boycot op bedrijven die Israel boycotten.						entailment
66	66	66	paper:GLUE:Intersectivity:upward_monotone					Missouri wetgevers overwegen een boycot op bedrijven die Israel boycotten.	Missouri wetgevers overwegen een overheidsboycot op bedrijven die Israel boycotten.						neutral
67	67	67	paper:GLUE:non_monotone					De kroonprins’ moeder zou niet de eerste saoedische koninklijke zijn van wie de bewegingen beperkt waren sinds juni 2017.	De kroonprins’ moeder zou niet de eerste koninklijke zijn van wie de bewegingen beperkt waren sinds juni 2017.						entailment
68	68	68	paper:GLUE:non_monotone					De kroonprins’ moeder zou niet de eerste koninklijke zijn van wie de bewegingen beperkt waren sinds juni 2017.	De kroonprins’ moeder zou niet de eerste saoedische koninklijke zijn van wie de bewegingen beperkt waren sinds juni 2017.						neutral
69	69	69	paper:GLUE:Core args:non_monotone					De laatste keer dat ik op bezoek was was bijna 6 maanden geleden en ik vind nog steeds huskyvacht op mijn sokken.	De laatste keer dat ik mijn vriend bezocht was bijna 6 maanden geleden en ik vind nog steeds huskyvacht op mijn sokken.						neutral
70	70	70	paper:GLUE:Core args:non_monotone					De laatste keer dat ik mijn vriend bezocht was bijna 6 maanden geleden en ik vind nog steeds huskyvacht op mijn sokken.	De laatste keer dat ik op bezoek was was bijna 6 maanden geleden en ik vind nog steeds huskyvacht op mijn sokken.						neutral
71	71	71	paper:GLUE:Intersectivity:upward_monotone:conditionals					Je weet dat wat levensveranderende acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.	Je weet dat wat acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.						entailment
72	72	72	paper:GLUE:Intersectivity:upward_monotone:conditionals					Je weet dat wat acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.	Je weet dat wat levensveranderende acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.						neutral
73	73	73	paper:GLUE:Intersectivity:downward_monotone:conditionals					Je weet dat wat levensveranderende acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.	Je weet dat wat acties ondernomen moeten worden wanneer oma reageert met een emoticon.						neutral
74	74	74	paper:GLUE:Intersectivity:downward_monotone:conditionals					Je weet dat wat acties ondernomen moeten worden wanneer oma reageert met een emoticon.	Je weet dat wat levensveranderende acties ondernomen moeten worden wanneer oma reageert met een verdrietige emoticon.						entailment
75	75	75	paper:GLUE:downward_monotone					Ik heb nog nooit een kolibrie gezien die niet vliegt.	Ik heb nog nooit een kolibrie gezien.						neutral
76	76	76	paper:GLUE:downward_monotone					Ik heb nog nooit een kolibrie gezien.	Ik heb nog nooit een kolibrie gezien die niet vliegt.						entailment
77	77	77	paper:GLUE:lexical_knowledge:downward_monotone					Ik heb nog nooit een kolibrie gezien die niet vliegt.	Ik heb nog nooit een vogel gezien die niet vliegt.						neutral
78	78	78	paper:GLUE:lexical_knowledge:downward_monotone					Ik heb nog nooit een vogel gezien die niet vliegt.	Ik heb nog nooit een kolibrie gezien die niet vliegt.						entailment
79	79	79	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					Net de eerste 15 minuten gekeken, vond het saai, doorgespoeld naar het magiestukje, het is grappiger als een gif.	Net het eerste kwartier gekeken, vond het saai, doorgespoeld naar het magiestukje, het is grappiger als een gif.						entailment
80	80	80	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					Net het eerste kwartier gekeken, vond het saai, doorgespoeld naar het magiestukje, het is grappiger als een gif.	Net de eerste 15 minuten gekeken, vond het saai, doorgespoeld naar het magiestukje, het is grappiger als een gif.						entailment
81	81	81	paper:GLUE:Existential:upward_monotone					Raar dat je iets wil laten zien aan een stapel papieren.	Raar dat je deze video wil laten zien aan een stapel papieren.						neutral
82	82	82	paper:GLUE:Existential:upward_monotone					Raar dat je deze video wil laten zien aan een stapel papieren.	Raar dat je iets wil laten zien aan een stapel papieren.						entailment
83	83	83	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.	Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, het oudste kind van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.						neutral
84	84	84	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, het oudste kind van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.	Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.						entailment
85	85	85	paper:GLUE:non_monotone					Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.	Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste gezonde zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.						neutral
86	86	86	paper:GLUE:non_monotone					Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste gezonde zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.	Op de leeftijd van 24 was ze verloofd met prins albert victor, hertog van clarence en avondale, de oudste zoon van de prins van wales, maar zes weken na de aankondiging van de verloving stierf hij onverwachts aan longontsteking.						neutral
87	87	87	paper:GLUE:Redundancy:Restrictivity:non_monotone					Er zijn vier supraoculare schubben (boven de ogen) in bijna alle soorten en vijf supraciliaire schalen (direct boven de ogen, onder de supraoculars).	Er zijn vier schubben boven de ogen in bijna alle soorten en vijf supraciliaire schalen (direct boven de ogen, onder de supraoculars).						entailment
88	88	88	paper:GLUE:Redundancy:Restrictivity:non_monotone					Er zijn vier schubben boven de ogen in bijna alle soorten en vijf supraciliaire schalen (direct boven de ogen, onder de supraoculars).	Er zijn vier supraoculare schubben (boven de ogen) in bijna alle soorten en vijf supraciliaire schalen (direct boven de ogen, onder de supraoculars).						entailment
89	89	89	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation:npi					Regionale gouverneurs konden niet op de koning rekenen voor hulp in tijden van crisis, en de daaruit voortvloeiende voedseltekorten en politieke geschillen escaleerden tot hongersnoden en kleinschalige burgeroorlogen.	Regionale gouverneurs konden op niemand rekenen voor hulp in tijden van crisis, en de daaruit voortvloeiende voedseltekorten en politieke geschillen escaleerden tot hongersnoden en kleinschalige burgeroorlogen.						neutral
90	90	90	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation					Regionale gouverneurs konden op niemand rekenen voor hulp in tijden van crisis, en de daaruit voortvloeiende voedseltekorten en politieke geschillen escaleerden tot hongersnoden en kleinschalige burgeroorlogen.	Regionale gouverneurs konden niet op de koning rekenen voor hulp in tijden van crisis, en de daaruit voortvloeiende voedseltekorten en politieke geschillen escaleerden tot hongersnoden en kleinschalige burgeroorlogen.						entailment
91	91	91	paper:GLUE:Redundancy:upward_monotone					Het 15e tankkorps was een tankkorps van het rode leger van de sovjet-unie.	Het 15e tankkorps was een korps van het rode leger van de sovjet-unie.						entailment
92	92	92	paper:GLUE:Redundancy:upward_monotone					Het 15e tankkorps was een korps van het rode leger van de sovjet-unie.	Het 15e tankkorps was een tankkorps van het rode leger van de sovjet-unie.						entailment
93	93	93	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					In gegronde communicatietaken staan sprekers onder druk bij het kiezen van referentie-expressies die hun doelwitten van anderen in de context onderscheiden, wat leidt tot veel soorten van pragmatische betekenisverrijking.	In gegronde communicatietaken staan sprekers onder druk bij het kiezen van referentie-expressies die hun doelwitten van anderen in de context onderscheiden, wat leidt tot veel soorten van betekenisverrijking.						entailment
94	94	94	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					In gegronde communicatietaken staan sprekers onder druk bij het kiezen van referentie-expressies die hun doelwitten van anderen in de context onderscheiden, wat leidt tot veel soorten van betekenisverrijking.	In gegronde communicatietaken staan sprekers onder druk bij het kiezen van referentie-expressies die hun doelwitten van anderen in de context onderscheiden, wat leidt tot veel soorten van pragmatische betekenisverrijking.						entailment
95	95	95	paper:GLUE:Restrictivity:non_monotone					Hoewel de meeste succesvolle aanpakken voor begrijpend lezen afhankelijk zijn van recurrent neurale netwerken (RNN's), is het onbetaalbaar langzaam om ze over lange documenten te laten lopen omdat het moeilijk is om over reeksen te parallelliseren.	Hoewel de meeste aanpakken voor begrijpend lezen afhankelijk zijn van recurrent neurale netwerken (RNN's), is het onbetaalbaar langzaam om ze over lange documenten te laten lopen omdat het moeilijk is om over reeksen te parallelliseren.						neutral
96	96	96	paper:GLUE:Restrictivity:non_monotone					Hoewel de meeste aanpakken voor begrijpend lezen afhankelijk zijn van recurrent neurale netwerken (RNN's), is het onbetaalbaar langzaam om ze over lange documenten te laten lopen omdat het moeilijk is om over reeksen te parallelliseren.	Hoewel de meeste succesvolle aanpakken voor begrijpend lezen afhankelijk zijn van recurrent neurale netwerken (RNN's), is het onbetaalbaar langzaam om ze over lange documenten te laten lopen omdat het moeilijk is om over reeksen te parallelliseren.						neutral
97	97	97	paper:GLUE:Conjunction:upward_monotone					Het begrijpen van een lang document vereist het volgen van hoe entiteiten worden geïntroduceerd en evolueren over de tijd.	Het begrijpen van een lang document vereist het volgen van hoe entiteiten worden geïntroduceerd.						entailment
98	98	98	paper:GLUE:Conjunction:upward_monotone					Het begrijpen van een lang document vereist het volgen van hoe entiteiten worden geïntroduceerd.	Het begrijpen van een lang document vereist het volgen van hoe entiteiten worden geïntroduceerd en evolueren over de tijd.						neutral
99	99	99	paper:GLUE:Intersectivity:downward_monotone					Dus er is geen speciaal geheugenblok voor elke entiteit en geen onderscheid tussen entiteitsvermeldingen en niet-vermelde woorden.	Dus er is geen speciaal hoogdimensionaal geheugenblok voor elke entiteit en geen onderscheid tussen entiteitsvermeldingen en niet-vermelde woorden.						entailment
100	100	100	paper:GLUE:Intersectivity:downward_monotone					Dus er is geen speciaal hoogdimensionaal geheugenblok voor elke entiteit en geen onderscheid tussen entiteitsvermeldingen en niet-vermelde woorden.	Dus er is geen speciaal geheugenblok voor elke entiteit en geen onderscheid tussen entiteitsvermeldingen en niet-vermelde woorden.						neutral
101	101	101	paper:GLUE:upward_monotone:npi					Inderdaad, het wordt vaak gezegd dat voor het adequaat leren van een taak in een domein voor mensen een voorbeeld genoeg is om van te leren.	Inderdaad, het wordt vaak gezegd dat voor het adequaat leren van een taak in een domein voor mensen ieder aantal voorbeelden genoeg is om van te leren.						neutral
102	102	102	paper:GLUE:upward_monotone					Inderdaad, het wordt vaak gezegd dat voor het adequaat leren van een taak in een domein voor mensen ieder aantal voorbeelden genoeg is om van te leren.	Inderdaad, het wordt vaak gezegd dat voor het adequaat leren van een taak in een domein voor mensen een voorbeeld genoeg is om van te leren.						neutral
103	103	103	paper:GLUE:Restrictivity:non_monotone					Kijken naar foto’s op het internet van mensen die proberen foto’s te maken van spiegels die ze willen verkopen is mijn nieuwe ding.	Kijken naar foto’s op het internet van mensen die proberen foto’s te maken van spiegels is mijn nieuwe ding.						neutral
104	104	104	paper:GLUE:Restrictivity:non_monotone					Kijken naar foto’s op het internet van mensen die proberen foto’s te maken van spiegels is mijn nieuwe ding.	Kijken naar foto’s op het internet van mensen die proberen foto’s te maken van spiegels die ze willen verkopen is mijn nieuwe ding.						neutral
105	105	105	paper:GLUE:Intersectivity:upward_monotone					Een serene wind rolde over de open plek.	Een wind rolde over de open plek.						entailment
106	106	106	paper:GLUE:Intersectivity:upward_monotone					Een wind rolde over de open plek.	Een serene wind rolde over de open plek.						neutral
107	107	107	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					Ik wil niet mensen blijven vermaken die mijn tijd niet waarderen.	Ik wil niet mensen blijven vermaken.						neutral
108	108	108	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					Ik wil niet mensen blijven vermaken.	Ik wil niet mensen blijven vermaken die mijn tijd niet waarderen.						entailment
109	109	109	paper:GLUE:Intersectivity:non_monotone					De eerste aangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.	De eerste ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.						neutral
110	110	110	paper:GLUE:Intersectivity:non_monotone					De eerste ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.	De eerste aangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.						neutral
111	111	111	paper:GLUE:Intersectivity:non_monotone					De eerste aangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.	De eerste onaangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.						neutral
112	112	112	paper:GLUE:Intersectivity:non_monotone					De eerste onaangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.	De eerste aangename ervaring die ik had met omgaan met een ander mens was op de leetijd van zeventien.						neutral
113	113	113	paper:GLUE:Intersectivity:upward_monotone					De leidende auto verplaatste geleidelijk naar de linker baan.	De leidende auto verplaatste naar de linker baan.						entailment
114	114	114	paper:GLUE:Intersectivity:upward_monotone					De leidende auto verplaatste naar de linker baan.	De leidende auto verplaatste geleidelijk naar de linker baan.						neutral
115	115	115	paper:GLUE:lexical_knowledge:downward_monotone					De timing van de bijeenkomst is niet vastgesteld, aldus een woordvoerder van starbucks.	Over de timing van de bijeenkomst is niet nagedacht, aldus een woordvoerder van starbucks.						neutral
116	116	116	paper:GLUE:lexical_knowledge:downward_monotone					Over de timing van de bijeenkomst is niet nagedacht, aldus een woordvoerder van starbucks.	De timing van de bijeenkomst is niet vastgesteld, aldus een woordvoerder van starbucks.						entailment
117	117	117	paper:GLUE:Morphological negation:upward_monotone					Een paar van de redenaars uitspraken waren onbegrijpelijk, maar het publiek hield ervan.	Een paar van de redenaars uitspraken waren begrijpelijk, maar het publiek hield ervan.						neutral
118	118	118	paper:GLUE:Morphological negation:upward_monotone					Een paar van de redenaars uitspraken waren begrijpelijk, maar het publiek hield ervan.	Een paar van de redenaars uitspraken waren onbegrijpelijk, maar het publiek hield ervan.						neutral
119	119	119	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Er zijn een paar geweldige wandelroutes rondom Mt. Fuji.	Er zijn een paar geweldige wandelroutes in Japan.						entailment
120	120	120	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Er zijn een paar geweldige wandelroutes in Japan.	Er zijn een paar geweldige wandelroutes rondom Mt. Fuji.						neutral
121	121	121	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Er zijn een paar geweldige wandelroutes rondom Mt. Fuji.	Er zijn een paar geweldige wandelroutes in nepal.						neutral
